incident_id,timestamp_reported,state,district,nearest_city_town,latitude,longitude,incident_category,incident_type,severity_level,incident_status,reporting_agency,response_time_minutes,fatalities_count,injuries_count,estimated_affected_population,est_financial_loss_lakh_inr,road_highway_affected,ndrf_sdrf_deployed,action_taken
INC-NER-2026-0322,2026-08-25 08:00:06,Mizoram,Champhai,Champhai,23.45565,93.31567,Hydro-Meteorological,Cloudburst / Heavy Rainfall Blockade,High (Level 3),Reported / Triaged,Border Roads Organisation (BRO),78,0,3,402,17.08,NH-37,Yes,Emergency crews dispatched to Champhai for immediate cloudburst / heavy rainfall blockade containment and traffic rerouting.
INC-NER-2026-0295,2026-08-25 07:58:54,Meghalaya,Ri-Bhoi,Nongpoh,25.89212,91.89122,Geological & Earth Hazards,Minor Tremor / Seismic Activity,High (Level 3),Mitigation In Progress,Border Roads Organisation (BRO),35,0,0,22,11.8,NH-10,Yes,Emergency crews dispatched to Nongpoh for immediate minor tremor / seismic activity containment and traffic rerouting.
INC-NER-2026-0292,2026-08-25 05:46:24,Meghalaya,East Khasi Hills,Shillong,25.57743,91.90251,Traffic & Infrastructure,Power Grid Failure / Transmission Break,Moderate (Level 2),Mitigation In Progress,Police Integrated Control Room,50,0,0,19,1.98,NH-27,No,Emergency crews dispatched to Shillong for immediate power grid failure / transmission break containment and traffic rerouting.
INC-NER-2026-0173,2026-08-25 05:40:06,Manipur,Ukhrul,Ukhrul,25.1114,94.37738,Traffic & Infrastructure,National Highway Road Blockade,High (Level 3),Under Assessment,Forest Department Radar,111,0,1,440,15.04,NH-102,Yes,Emergency crews dispatched to Ukhrul for immediate national highway road blockade containment and traffic rerouting.
INC-NER-2026-0011,2026-08-25 05:13:08,Assam,Sonitpur,Tezpur,26.64684,92.80588,Geological & Earth Hazards,Subsidence / Ground Cracking,Moderate (Level 2),Emergency Response Dispatched,Police Integrated Control Room,78,0,0,31,0.28,State Highway,No,Emergency crews dispatched to Tezpur for immediate subsidence / ground cracking containment and traffic rerouting.
INC-NER-2026-0205,2026-08-25 05:11:48,Mizoram,Lunglei,Lunglei,22.87837,92.71787,Traffic & Infrastructure,Power Grid Failure / Transmission Break,Low (Level 1),Mitigation In Progress,NDRF Control Room,59,0,0,8,1.4,NH-37,No,Emergency crews dispatched to Lunglei for immediate power grid failure / transmission break containment and traffic rerouting.
INC-NER-2026-0296,2026-08-25 04:07:16,Mizoram,Champhai,Champhai,23.44943,93.3326,Civic & Public Safety,Urban Waterlogging / Drainage Overflow,High (Level 3),Emergency Response Dispatched,State Disaster Management Authority (SDMA),25,0,0,483,12.86,None / N/A,Yes,Emergency crews dispatched to Champhai for immediate urban waterlogging / drainage overflow containment and traffic rerouting.
INC-NER-2026-0083,2026-08-25 04:00:32,Arunachal Pradesh,West Kameng,Dirang,27.37024,92.2449,Civic & Public Safety,Urban Waterlogging / Drainage Overflow,High (Level 3),Resolved / Cleared,Citizen Telemetry App,28,0,6,151,12.22,NH-27,Yes,Emergency crews dispatched to Dirang for immediate urban waterlogging / drainage overflow containment and traffic rerouting.
INC-NER-2026-0102,2026-08-25 03:55:47,Manipur,Imphal West,Imphal,24.80996,93.9244,Hydro-Meteorological,Cyclone / Violent Wind Damage,Moderate (Level 2),Reported / Triaged,Forest Department Radar,83,0,0,7,4.16,State Highway,No,Emergency crews dispatched to Imphal for immediate cyclone / violent wind damage containment and traffic rerouting.
INC-NER-2026-0344,2026-08-25 03:55:42,Arunachal Pradesh,Tawang,Tawang,27.58551,91.84692,Hydro-Meteorological,Cyclone / Violent Wind Damage,Moderate (Level 2),Mitigation In Progress,Citizen Telemetry App,59,0,0,11,3.83,State Highway,No,Emergency crews dispatched to Tawang for immediate cyclone / violent wind damage containment and traffic rerouting.
INC-NER-2026-0182,2026-08-25 03:41:11,Assam,Cachar,Silchar,24.83009,92.80244,Hydro-Meteorological,Major Landslide / Slope Failure,High (Level 3),Under Assessment,Police Integrated Control Room,65,0,0,49,10.65,NH-08,Yes,Emergency crews dispatched to Silchar for immediate major landslide / slope failure containment and traffic rerouting.
INC-NER-2026-0167,2026-08-25 03:04:21,Arunachal Pradesh,Tawang,Tawang,27.57274,91.85532,Traffic & Infrastructure,Bridge Submersion / Structural Washout,Critical (Level 4),Mitigation In Progress,SDRF Telemetry,44,0,25,883,65.18,State Highway,Yes,Emergency crews dispatched to Tawang for immediate bridge submersion / structural washout containment and traffic rerouting.
INC-NER-2026-0036,2026-08-25 02:36:43,Manipur,Churachandpur,Churachandpur,24.3306,93.68969,Hydro-Meteorological,Major Landslide / Slope Failure,Critical (Level 4),Emergency Response Dispatched,Police Integrated Control Room,12,0,0,2522,96.95,NH-27,Yes,Emergency crews dispatched to Churachandpur for immediate major landslide / slope failure containment and traffic rerouting.
INC-NER-2026-0180,2026-08-25 02:31:57,Meghalaya,East Khasi Hills,Cherrapunji,25.3027,91.72404,Hydro-Meteorological,Flash Flood / River Water Inundation,Moderate (Level 2),Resolved / Cleared,Police Integrated Control Room,56,0,0,8,0.8,None / N/A,No,Emergency crews dispatched to Cherrapunji for immediate flash flood / river water inundation containment and traffic rerouting.
INC-NER-2026-0265,2026-08-25 02:26:27,Sikkim,North Sikkim,Mangan,27.51617,88.53586,Environmental & Wildlife,Poaching Counter-Operation,Moderate (Level 2),Mitigation In Progress,State Disaster Management Authority (SDMA),59,0,0,35,2.58,NH-29,No,Emergency crews dispatched to Mangan for immediate poaching counter-operation containment and traffic rerouting.
INC-NER-2026-0207,2026-08-25 01:41:51,Tripura,North Tripura,Dharmanagar,24.3602,92.16017,Hydro-Meteorological,Major Landslide / Slope Failure,High (Level 3),Under Assessment,NDRF Control Room,9,0,1,321,29.48,State Highway,Yes,Emergency crews dispatched to Dharmanagar for immediate major landslide / slope failure containment and traffic rerouting.
INC-NER-2026-0275,2026-08-25 01:17:58,Nagaland,Mokokchung,Mokokchung,26.3191,94.52033,Geological & Earth Hazards,Rockfall / Debris Flow on Highway,Moderate (Level 2),Resolved / Cleared,State Disaster Management Authority (SDMA),102,0,0,34,0.81,NH-29,No,Emergency crews dispatched to Mokokchung for immediate rockfall / debris flow on highway containment and traffic rerouting.
INC-NER-2026-0150,2026-08-25 01:02:57,Tripura,Gomati,Udaipur,23.53965,91.46964,Civic & Public Safety,Border Checkpost Delay / Traffic Snarl,Moderate (Level 2),Emergency Response Dispatched,State Disaster Management Authority (SDMA),25,0,0,0,3.07,NH-37,No,Emergency crews dispatched to Udaipur for immediate border checkpost delay / traffic snarl containment and traffic rerouting.
INC-NER-2026-0338,2026-08-25 00:59:42,Manipur,Tengnoupal,Moreh,24.24635,94.30405,Geological & Earth Hazards,Minor Tremor / Seismic Activity,High (Level 3),Emergency Response Dispatched,State Disaster Management Authority (SDMA),113,0,1,284,29.74,NH-08,Yes,Emergency crews dispatched to Moreh for immediate minor tremor / seismic activity containment and traffic rerouting.
INC-NER-2026-0004,2026-08-25 00:58:08,Assam,Golaghat,Kaziranga,26.57655,93.18335,Hydro-Meteorological,Cloudburst / Heavy Rainfall Blockade,Critical (Level 4),Emergency Response Dispatched,State Disaster Management Authority (SDMA),28,0,0,2911,33.66,NH-08,Yes,Emergency crews dispatched to Kaziranga for immediate cloudburst / heavy rainfall blockade containment and traffic rerouting.
INC-NER-2026-0348,2026-08-25 00:47:36,Tripura,North Tripura,Dharmanagar,24.37852,92.15897,Environmental & Wildlife,Poaching Counter-Operation,Moderate (Level 2),Mitigation In Progress,State Disaster Management Authority (SDMA),116,0,0,2,2.74,NH-27,No,Emergency crews dispatched to Dharmanagar for immediate poaching counter-operation containment and traffic rerouting.
INC-NER-2026-0222,2026-08-25 00:41:29,Nagaland,Dimapur,Dimapur,25.91631,93.72524,Hydro-Meteorological,Cyclone / Violent Wind Damage,Moderate (Level 2),Under Assessment,SDRF Telemetry,51,0,0,2,1.0,None / N/A,No,Emergency crews dispatched to Dimapur for immediate cyclone / violent wind damage containment and traffic rerouting.
INC-NER-2026-0084,2026-08-25 00:32:31,Meghalaya,East Khasi Hills,Cherrapunji,25.31012,91.74483,Hydro-Meteorological,Major Landslide / Slope Failure,Critical (Level 4),Resolved / Cleared,SDRF Telemetry,104,0,2,1202,217.6,NH-102,Yes,Emergency crews dispatched to Cherrapunji for immediate major landslide / slope failure containment and traffic rerouting.
INC-NER-2026-0063,2026-08-25 00:30:53,Meghalaya,East Khasi Hills,Shillong,25.56728,91.89851,Geological & Earth Hazards,Subsidence / Ground Cracking,High (Level 3),Mitigation In Progress,Citizen Telemetry App,114,0,3,347,5.53,NH-102,Yes,Emergency crews dispatched to Shillong for immediate subsidence / ground cracking containment and traffic rerouting.
INC-NER-2026-0138,2026-08-25 00:15:27,Arunachal Pradesh,Papum Pare,Itanagar,27.08546,93.61736,Hydro-Meteorological,Flash Flood / River Water Inundation,Moderate (Level 2),Emergency Response Dispatched,SDRF Telemetry,42,0,0,38,1.01,NH-37,No,Emergency crews dispatched to Itanagar for immediate flash flood / river water inundation containment and traffic rerouting.
INC-NER-2026-0244,2026-08-24 23:30:19,Mizoram,Aizawl,Aizawl,23.73112,92.70801,Traffic & Infrastructure,National Highway Road Blockade,High (Level 3),Resolved / Cleared,NDRF Control Room,36,0,6,148,11.09,NH-10,Yes,Emergency crews dispatched to Aizawl for immediate national highway road blockade containment and traffic rerouting.
INC-NER-2026-0299,2026-08-24 23:27:30,Mizoram,Lunglei,Lunglei,22.88941,92.72441,Traffic & Infrastructure,Rail Line Submersion / Debris Clearance,High (Level 3),Resolved / Cleared,Citizen Telemetry App,42,0,3,110,11.95,NH-37,Yes,Emergency crews dispatched to Lunglei for immediate rail line submersion / debris clearance containment and traffic rerouting.
INC-NER-2026-0100,2026-08-24 23:27:05,Assam,Dima Hasao,Haflong,25.18106,93.01847,Geological & Earth Hazards,Rockfall / Debris Flow on Highway,Low (Level 1),Mitigation In Progress,NDRF Control Room,85,0,0,37,4.33,NH-102,No,Emergency crews dispatched to Haflong for immediate rockfall / debris flow on highway containment and traffic rerouting.
INC-NER-2026-0047,2026-08-24 23:06:01,Manipur,Imphal West,Imphal,24.80516,93.93689,Traffic & Infrastructure,Power Grid Failure / Transmission Break,High (Level 3),Resolved / Cleared,Forest Department Radar,24,0,0,63,14.16,State Highway,Yes,Emergency crews dispatched to Imphal for immediate power grid failure / transmission break containment and traffic rerouting.
INC-NER-2026-0257,2026-08-24 22:46:40,Nagaland,Mokokchung,Mokokchung,26.3369,94.52912,Environmental & Wildlife,Poaching Counter-Operation,Moderate (Level 2),Reported / Triaged,NDRF Control Room,89,0,0,34,2.28,NH-102,No,Emergency crews dispatched to Mokokchung for immediate poaching counter-operation containment and traffic rerouting.
INC-NER-2026-0313,2026-08-24 22:35:27,Assam,Cachar,Silchar,24.80758,92.78923,Hydro-Meteorological,River Bank Erosion,Moderate (Level 2),Mitigation In Progress,Police Integrated Control Room,90,0,0,4,3.81,NH-102,No,Emergency crews dispatched to Silchar for immediate river bank erosion containment and traffic rerouting.
INC-NER-2026-0007,2026-08-24 22:13:24,Arunachal Pradesh,West Kameng,Dirang,27.34819,92.24518,Hydro-Meteorological,Cyclone / Violent Wind Damage,Low (Level 1),Mitigation In Progress,NDRF Control Room,94,0,0,32,1.34,None / N/A,No,Emergency crews dispatched to Dirang for immediate cyclone / violent wind damage containment and traffic rerouting.
INC-NER-2026-0340,2026-08-24 21:13:17,Sikkim,South Sikkim,Namchi,27.16538,88.35794,Hydro-Meteorological,Cloudburst / Heavy Rainfall Blockade,High (Level 3),Emergency Response Dispatched,State Disaster Management Authority (SDMA),44,0,0,153,9.11,NH-37,Yes,Emergency crews dispatched to Namchi for immediate cloudburst / heavy rainfall blockade containment and traffic rerouting.
INC-NER-2026-0166,2026-08-24 21:09:22,Assam,Cachar,Silchar,24.82264,92.78964,Environmental & Wildlife,Wild Elephant Corridor Movement / Human Wildlife Conflict,Low (Level 1),Resolved / Cleared,Police Integrated Control Room,96,0,0,7,1.28,None / N/A,No,Emergency crews dispatched to Silchar for immediate wild elephant corridor movement / human wildlife conflict containment and traffic rerouting.
INC-NER-2026-0345,2026-08-24 21:06:06,Tripura,North Tripura,Dharmanagar,24.36722,92.15275,Civic & Public Safety,Border Checkpost Delay / Traffic Snarl,Low (Level 1),Emergency Response Dispatched,Citizen Telemetry App,44,0,0,15,1.74,NH-08,No,Emergency crews dispatched to Dharmanagar for immediate border checkpost delay / traffic snarl containment and traffic rerouting.
INC-NER-2026-0308,2026-08-24 21:02:32,Nagaland,Dimapur,Dimapur,25.89449,93.73578,Geological & Earth Hazards,Subsidence / Ground Cracking,Low (Level 1),Mitigation In Progress,Forest Department Radar,42,0,0,45,1.3,NH-10,No,Emergency crews dispatched to Dimapur for immediate subsidence / ground cracking containment and traffic rerouting.
INC-NER-2026-0228,2026-08-24 20:21:19,Arunachal Pradesh,Papum Pare,Itanagar,27.08095,93.60972,Hydro-Meteorological,Flash Flood / River Water Inundation,Low (Level 1),Resolved / Cleared,Citizen Telemetry App,96,0,0,46,0.63,NH-10,No,Emergency crews dispatched to Itanagar for immediate flash flood / river water inundation containment and traffic rerouting.
INC-NER-2026-0094,2026-08-24 20:11:49,Sikkim,North Sikkim,Mangan,27.50405,88.54506,Hydro-Meteorological,River Bank Erosion,High (Level 3),Emergency Response Dispatched,Police Integrated Control Room,19,0,0,103,12.6,None / N/A,Yes,Emergency crews dispatched to Mangan for immediate river bank erosion containment and traffic rerouting.
INC-NER-2026-0310,2026-08-24 19:47:00,Assam,Dima Hasao,Haflong,25.18102,93.01164,Hydro-Meteorological,River Bank Erosion,High (Level 3),Reported / Triaged,State Disaster Management Authority (SDMA),103,0,1,138,20.18,NH-37,Yes,Emergency crews dispatched to Haflong for immediate river bank erosion containment and traffic rerouting.
INC-NER-2026-0175,2026-08-24 19:30:02,Sikkim,South Sikkim,Namchi,27.17037,88.34462,Traffic & Infrastructure,Communication Fiber Cut,Moderate (Level 2),Emergency Response Dispatched,NDRF Control Room,113,0,0,28,2.29,NH-10,No,Emergency crews dispatched to Namchi for immediate communication fiber cut containment and traffic rerouting.
INC-NER-2026-0200,2026-08-24 18:53:42,Assam,Kamrup Metropolitan,Guwahati,26.13319,91.74953,Civic & Public Safety,Urban Waterlogging / Drainage Overflow,High (Level 3),Reported / Triaged,Police Integrated Control Room,40,0,1,108,29.64,None / N/A,Yes,Emergency crews dispatched to Guwahati for immediate urban waterlogging / drainage overflow containment and traffic rerouting.
INC-NER-2026-0119,2026-08-24 18:13:09,Mizoram,Lunglei,Lunglei,22.88051,92.74082,Traffic & Infrastructure,Communication Fiber Cut,High (Level 3),Emergency Response Dispatched,Border Roads Organisation (BRO),39,0,3,111,22.47,NH-27,Yes,Emergency crews dispatched to Lunglei for immediate communication fiber cut containment and traffic rerouting.
INC-NER-2026-0057,2026-08-24 18:09:18,Arunachal Pradesh,Tawang,Tawang,27.5775,91.86292,Environmental & Wildlife,Wild Elephant Corridor Movement / Human Wildlife Conflict,Low (Level 1),Resolved / Cleared,Police Integrated Control Room,118,0,0,17,4.74,NH-102,No,Emergency crews dispatched to Tawang for immediate wild elephant corridor movement / human wildlife conflict containment and traffic rerouting.
INC-NER-2026-0145,2026-08-24 17:25:30,Mizoram,Champhai,Champhai,23.45266,93.31651,Traffic & Infrastructure,Bridge Submersion / Structural Washout,Critical (Level 4),Under Assessment,Citizen Telemetry App,62,2,2,1941,104.73,NH-27,Yes,Emergency crews dispatched to Champhai for immediate bridge submersion / structural washout containment and traffic rerouting.
INC-NER-2026-0235,2026-08-24 17:03:00,Manipur,Tengnoupal,Moreh,24.24057,94.31413,Geological & Earth Hazards,Minor Tremor / Seismic Activity,High (Level 3),Emergency Response Dispatched,Border Roads Organisation (BRO),18,0,0,45,25.92,None / N/A,Yes,Emergency crews dispatched to Moreh for immediate minor tremor / seismic activity containment and traffic rerouting.
INC-NER-2026-0125,2026-08-24 16:55:16,Mizoram,Champhai,Champhai,23.44164,93.32498,Traffic & Infrastructure,Bridge Submersion / Structural Washout,High (Level 3),Resolved / Cleared,State Disaster Management Authority (SDMA),111,0,0,23,10.64,None / N/A,Yes,Emergency crews dispatched to Champhai for immediate bridge submersion / structural washout containment and traffic rerouting.
INC-NER-2026-0106,2026-08-24 16:45:32,Sikkim,North Sikkim,Mangan,27.51679,88.52933,Civic & Public Safety,Industrial Chemical Spill / Fire Incident,High (Level 3),Under Assessment,Forest Department Radar,8,0,3,297,10.98,NH-29,Yes,Emergency crews dispatched to Mangan for immediate industrial chemical spill / fire incident containment and traffic rerouting.
INC-NER-2026-0003,2026-08-24 15:51:17,Meghalaya,East Khasi Hills,Cherrapunji,25.30363,91.74018,Civic & Public Safety,Industrial Chemical Spill / Fire Incident,Low (Level 1),Reported / Triaged,State Disaster Management Authority (SDMA),43,0,0,37,2.8,NH-08,No,Emergency crews dispatched to Cherrapunji for immediate industrial chemical spill / fire incident containment and traffic rerouting.
INC-NER-2026-0316,2026-08-24 15:34:09,Arunachal Pradesh,Papum Pare,Itanagar,27.08948,93.61686,Traffic & Infrastructure,Bridge Submersion / Structural Washout,High (Level 3),Emergency Response Dispatched,Forest Department Radar,96,0,3,52,7.35,NH-08,Yes,Emergency crews dispatched to Itanagar for immediate bridge submersion / structural washout containment and traffic rerouting.
INC-NER-2026-0161,2026-08-24 15:23:08,Assam,Sonitpur,Tezpur,26.61948,92.80847,Civic & Public Safety,Public Protests / Road Blockade Demonstration,High (Level 3),Emergency Response Dispatched,NDRF Control Room,81,0,0,116,15.11,NH-102,Yes,Emergency crews dispatched to Tezpur for immediate public protests / road blockade demonstration containment and traffic rerouting.
INC-NER-2026-0111,2026-08-24 14:42:31,Arunachal Pradesh,East Siang,Pasighat,28.05175,95.31481,Hydro-Meteorological,Cloudburst / Heavy Rainfall Blockade,Critical (Level 4),Emergency Response Dispatched,Citizen Telemetry App,92,0,5,387,168.35,NH-102,Yes,Emergency crews dispatched to Pasighat for immediate cloudburst / heavy rainfall blockade containment and traffic rerouting.
INC-NER-2026-0221,2026-08-24 14:35:02,Nagaland,Dimapur,Dimapur,25.91483,93.72926,Civic & Public Safety,Border Checkpost Delay / Traffic Snarl,High (Level 3),Resolved / Cleared,Police Integrated Control Room,34,0,1,374,20.1,NH-102,Yes,Emergency crews dispatched to Dimapur for immediate border checkpost delay / traffic snarl containment and traffic rerouting.
INC-NER-2026-0291,2026-08-24 14:28:11,Sikkim,South Sikkim,Namchi,27.17097,88.34673,Traffic & Infrastructure,Power Grid Failure / Transmission Break,Low (Level 1),Mitigation In Progress,SDRF Telemetry,59,0,0,31,3.73,State Highway,No,Emergency crews dispatched to Namchi for immediate power grid failure / transmission break containment and traffic rerouting.
INC-NER-2026-0270,2026-08-24 14:23:46,Mizoram,Aizawl,Aizawl,23.71339,92.72433,Traffic & Infrastructure,Power Grid Failure / Transmission Break,High (Level 3),Resolved / Cleared,Forest Department Radar,21,0,0,149,23.08,NH-08,Yes,Emergency crews dispatched to Aizawl for immediate power grid failure / transmission break containment and traffic rerouting.
INC-NER-2026-0080,2026-08-24 14:09:03,Arunachal Pradesh,Tawang,Tawang,27.57885,91.86295,Hydro-Meteorological,River Bank Erosion,Moderate (Level 2),Reported / Triaged,Police Integrated Control Room,115,0,0,19,3.43,NH-10,No,Emergency crews dispatched to Tawang for immediate river bank erosion containment and traffic rerouting.
INC-NER-2026-0024,2026-08-24 13:41:19,Assam,Sonitpur,Tezpur,26.64494,92.79517,Environmental & Wildlife,Forest Fire / Wildfire Outbreak,Moderate (Level 2),Resolved / Cleared,Police Integrated Control Room,107,0,0,18,2.99,NH-27,No,Emergency crews dispatched to Tezpur for immediate forest fire / wildfire outbreak containment and traffic rerouting.
INC-NER-2026-0143,2026-08-24 13:13:35,Arunachal Pradesh,Papum Pare,Itanagar,27.08415,93.59724,Traffic & Infrastructure,Bridge Submersion / Structural Washout,High (Level 3),Mitigation In Progress,Forest Department Radar,105,0,1,94,27.4,State Highway,Yes,Emergency crews dispatched to Itanagar for immediate bridge submersion / structural washout containment and traffic rerouting.
INC-NER-2026-0326,2026-08-24 13:06:49,Nagaland,Dimapur,Dimapur,25.91594,93.73736,Traffic & Infrastructure,National Highway Road Blockade,High (Level 3),Mitigation In Progress,Police Integrated Control Room,59,0,0,220,14.15,NH-10,Yes,Emergency crews dispatched to Dimapur for immediate national highway road blockade containment and traffic rerouting.
INC-NER-2026-0215,2026-08-24 12:30:03,Meghalaya,East Khasi Hills,Cherrapunji,25.29995,91.71807,Hydro-Meteorological,Cyclone / Violent Wind Damage,High (Level 3),Emergency Response Dispatched,Police Integrated Control Room,63,0,0,269,21.31,None / N/A,Yes,Emergency crews dispatched to Cherrapunji for immediate cyclone / violent wind damage containment and traffic rerouting.
