district_id,timestamp_updated,state,district,headquarters,hq_latitude,hq_longitude,terrain_type,area_sq_km,est_population,population_density_sq_km,current_temperature_c,current_humidity_pct,rainfall_last_24h_mm,air_quality_index_us,active_disaster_incidents,flood_alert_level,landslide_risk_level,nh_highway_connectivity,power_grid_operational_pct,hospital_bed_available_pct,active_emergency_shelters,disaster_response_teams_deployed
DIS-NER-MIZ-027,2026-08-25 13:30:00,Mizoram,Aizawl,Aizawl,23.7271,92.7176,Linear Ridge Zone,2619,322096,123,18.1,84,42.0,21,2,Normal,High,Open / Normal,99.8,61.7,0,0
DIS-NER-MIZ-028,2026-08-25 13:30:00,Mizoram,Lunglei,Lunglei,22.8879,92.7317,Southern Hill Belt,1882,231526,123,18.7,85,18.0,48,2,Normal,Moderate,Open / Normal,86.8,50.7,0,0
DIS-NER-MIZ-029,2026-08-25 13:30:00,Mizoram,Champhai,Champhai,23.4561,93.3283,Eastern Border Plateau,749,176048,235,30.4,78,8.5,31,0,Normal,Low,Open / Normal,86.7,65.9,0,1
DIS-NER-MIZ-030,2026-08-25 13:30:00,Mizoram,Kolasib,Kolasib,24.22,92.68,Northern Valley Belt,2060,422206,205,22.3,84,8.5,19,0,Normal,Low,Open / Normal,98.5,27.9,0,0
DIS-NER-NAG-031,2026-08-25 13:30:00,Nagaland,Kohima,Kohima,25.6751,94.1086,High Ridge Zone,809,114848,142,23.6,77,8.5,32,3,Normal,Low,Open / Normal,93.2,35.7,0,3
DIS-NER-NAG-032,2026-08-25 13:30:00,Nagaland,Dimapur,Dimapur,25.906,93.7271,Foothill Plain / Commercial Hub,872,1150281,1319,30.0,73,42.0,45,2,Watch (Yellow),Low,Open / Normal,97.0,32.0,3,0
DIS-NER-NAG-033,2026-08-25 13:30:00,Nagaland,Mokokchung,Mokokchung,26.3248,94.515,Central Hill Range,1719,293877,171,20.4,94,2.0,25,0,Normal,Moderate,Open / Normal,94.2,45.4,0,0
DIS-NER-NAG-034,2026-08-25 13:30:00,Nagaland,Mon,Mon,26.75,95.06,Northern Border Hill Zone,3303,340232,103,18.1,94,18.0,47,5,Normal,Moderate,Open / Normal,96.3,62.7,0,1
DIS-NER-TRI-035,2026-08-25 13:30:00,Tripura,West Tripura,Agartala,23.8315,91.2868,Western Plain & Tilla,1527,1188054,778,29.6,94,88.0,46,0,Severe Alert (Red),Low,Open / Normal,85.0,62.1,11,3
DIS-NER-TRI-036,2026-08-25 13:30:00,Tripura,Gomati,Udaipur,23.5333,91.4833,River Valley Basin,1829,301792,165,23.3,78,8.5,56,3,Normal,Low,Open / Normal,90.3,34.0,0,2
DIS-NER-TRI-037,2026-08-25 13:30:00,Tripura,North Tripura,Dharmanagar,24.3739,92.1648,Synclinal Valley,3469,294861,85,25.7,78,8.5,23,2,Normal,Low,Open / Normal,91.8,40.3,0,0
DIS-NER-TRI-038,2026-08-25 13:30:00,Tripura,South Tripura,Belonia,23.25,91.45,Southern Plains,573,741101,1293,23.9,82,8.5,60,0,Normal,Low,Open / Normal,91.2,72.3,0,1
DIS-NER-SIK-039,2026-08-25 13:30:00,Sikkim,East Sikkim (Gangtok),Gangtok,27.3389,88.6065,Mid-Himalayan Slope,1762,378798,215,21.0,81,2.0,28,0,Normal,Low,Open / Normal,87.7,35.5,0,0
DIS-NER-SIK-040,2026-08-25 13:30:00,Sikkim,South Sikkim (Namchi),Namchi,27.1667,88.35,Lesser Himalayan Ridge,3875,321616,83,22.4,84,18.0,26,0,Normal,Low,Open / Normal,89.7,75.7,0,0
DIS-NER-SIK-041,2026-08-25 13:30:00,Sikkim,North Sikkim (Mangan),Mangan,27.5052,88.532,High Alpine Trans-Himalaya,1236,244740,198,15.6,84,2.0,30,1,Normal,Low,Open / Normal,87.0,41.5,0,1
DIS-NER-SIK-042,2026-08-25 13:30:00,Sikkim,West Sikkim (Gyalshing),Gyalshing,27.28,88.25,Western Alpine Ridge,1460,235066,161,19.5,88,42.0,53,0,Normal,High,Open / Normal,85.6,37.6,0,0
