waybill_tracking_id,dispatch_timestamp,estimated_delivery_timestamp,actual_delivery_timestamp,state,district,delivery_hub_city,destination_pincode,logistics_partner,cargo_category,package_weight_kg,declared_value_inr,delivery_mode,delivery_status,payment_mode,otp_verification_status,delay_reason_if_any,last_mile_distance_km,customer_rating_score
DEL-NER-2026-000214,2026-08-25 11:30:00,2026-08-26 18:30:00,Pending,Tripura,Gomati,Udaipur,799474,Amazon Logistics (NER),E-Commerce Consumer Electronics,5.36,15811.75,Light Commercial Pickup Truck (Bolero / Ace),In Transit - Hub to Hub,Pay on Delivery (UPI QR),N/A,None,20.5,N/A
DEL-NER-2026-000210,2026-08-25 11:30:00,2026-08-25 17:30:00,2026-08-25 17:30:00,Assam,Sonitpur,Tezpur,781942,ExpressBees,Apparel & Fashion,1.93,4243.05,Light Commercial Pickup Truck (Bolero / Ace),Delivered Successfully,Cash on Delivery (COD),Verified,None,24.6,4.1
DEL-NER-2026-000097,2026-08-25 11:30:00,2026-08-26 15:30:00,Pending,Tripura,Gomati,Udaipur,799825,India Post (Speed Post),FMCG & Groceries,1.84,21854.08,Two-Wheeler / Bike Express,Out for Delivery (On-Time),Pay on Delivery (UPI QR),Pending,None,19.6,N/A
DEL-NER-2026-000447,2026-08-25 11:30:00,2026-08-26 08:30:00,Pending,Mizoram,Aizawl,Aizawl,796370,Amazon Logistics (NER),Essential Medicines & Medical Supplies,3.7,3161.49,Two-Wheeler / Bike Express,Delayed - Landslide / Road Blockade,Pay on Delivery (UPI QR),N/A,Landslide / Highway Blockade,4.4,N/A
DEL-NER-2026-000229,2026-08-25 11:30:00,2026-08-26 12:30:00,Pending,Nagaland,Kohima,Kohima,797418,Delhivery,Government / Official Documents,0.77,3619.88,Electric Cargo 3-Wheeler,Out for Delivery (On-Time),Pay on Delivery (UPI QR),Pending,None,7.3,N/A
DEL-NER-2026-000042,2026-08-25 11:30:00,2026-08-26 07:30:00,Pending,Manipur,Churachandpur,Churachandpur,795124,Shadowfax,Apparel & Fashion,2.02,2788.84,Two-Wheeler / Bike Express,Out for Delivery (On-Time),Cash on Delivery (COD),Pending,None,21.1,N/A
DEL-NER-2026-000149,2026-08-25 11:30:00,2026-08-25 17:30:00,2026-08-25 17:30:00,Meghalaya,West Garo Hills,Tura,793922,Delhivery,Apparel & Fashion,0.76,4392.25,Foot Courier (Hill Stairs / Remote Village),Delivered Successfully,Pay on Delivery (UPI QR),Verified,None,30.1,4.8
DEL-NER-2026-000424,2026-08-25 11:30:00,2026-08-26 00:30:00,Pending,Assam,Cachar,Silchar,781586,Amazon Logistics (NER),FMCG & Groceries,16.13,2790.13,Two-Wheeler / Bike Express,Delayed - Weather / Heavy Rainfall,Prepaid (Digital/UPI),N/A,Heavy Rain / Inundation,31.2,N/A
DEL-NER-2026-000352,2026-08-25 10:30:00,2026-08-25 21:30:00,Pending,Assam,Sonitpur,Tezpur,781382,DTDC Express,Auto Spare Parts & Industrial Tools,19.14,8375.66,Foot Courier (Hill Stairs / Remote Village),Out for Delivery (Delayed),Prepaid (Digital/UPI),Pending,None,29.6,N/A
DEL-NER-2026-000288,2026-08-25 10:30:00,2026-08-26 11:30:00,Pending,Meghalaya,East Khasi Hills,Shillong,793737,Delhivery,FMCG & Groceries,21.51,5476.51,Electric Cargo 3-Wheeler,Out for Delivery (On-Time),Pay on Delivery (UPI QR),Pending,None,31.0,N/A
DEL-NER-2026-000200,2026-08-25 10:30:00,2026-08-26 19:30:00,Pending,Mizoram,Aizawl,Aizawl,796896,ExpressBees,E-Commerce Consumer Electronics,5.37,28580.58,Two-Wheeler / Bike Express,In Transit - Hub to Hub,Prepaid (Digital/UPI),N/A,None,14.2,N/A
DEL-NER-2026-000063,2026-08-25 10:30:00,2026-08-25 22:30:00,Pending,Assam,Jorhat,Jorhat,781774,Blue Dart / DHL,Essential Medicines & Medical Supplies,3.65,3829.28,Foot Courier (Hill Stairs / Remote Village),Delayed - Weather / Heavy Rainfall,Pay on Delivery (UPI QR),N/A,Heavy Rain / Inundation,22.9,N/A
DEL-NER-2026-000191,2026-08-25 10:30:00,2026-08-26 00:30:00,Pending,Mizoram,Lunglei,Lunglei,796560,Blue Dart / DHL,Government / Official Documents,1.44,3865.08,Light Commercial Pickup Truck (Bolero / Ace),Out for Delivery (Delayed),Prepaid (Digital/UPI),Pending,None,16.1,N/A
DEL-NER-2026-000071,2026-08-25 10:30:00,2026-08-25 18:30:00,Pending,Arunachal Pradesh,Tawang,Tawang,791293,Delhivery,Apparel & Fashion,2.48,3482.02,Light Commercial Pickup Truck (Bolero / Ace),Delivery Attempted - Recipient Unavailable,Prepaid (Digital/UPI),N/A,None,18.0,N/A
DEL-NER-2026-000464,2026-08-25 10:30:00,2026-08-26 05:30:00,Pending,Tripura,West Tripura,Agartala,799809,Shadowfax,Government / Official Documents,0.15,999.33,Light Commercial Pickup Truck (Bolero / Ace),In Transit - Hub to Hub,Pay on Delivery (UPI QR),N/A,None,31.1,N/A
DEL-NER-2026-000047,2026-08-25 10:30:00,2026-08-26 18:30:00,Pending,Arunachal Pradesh,East Siang,Pasighat,791467,Delhivery,E-Commerce Consumer Electronics,3.1,18166.11,Two-Wheeler / Bike Express,Out for Delivery (On-Time),Cash on Delivery (COD),Pending,None,27.8,N/A
DEL-NER-2026-000185,2026-08-25 10:30:00,2026-08-26 12:30:00,Pending,Tripura,Gomati,Udaipur,799166,Delhivery,Auto Spare Parts & Industrial Tools,12.05,21049.66,Light Commercial Pickup Truck (Bolero / Ace),Held at Hub - Inner Line Permit / Customs Check,Prepaid (Digital/UPI),N/A,Inner Line Permit Verification,22.1,N/A
DEL-NER-2026-000110,2026-08-25 09:30:00,2026-08-26 09:30:00,Pending,Assam,Cachar,Silchar,781982,Shadowfax,Handicrafts & Organic NE Produce (Outbound),22.35,4613.84,Two-Wheeler / Bike Express,Out for Delivery (On-Time),Prepaid (Digital/UPI),Pending,None,8.3,N/A
DEL-NER-2026-000212,2026-08-25 09:30:00,2026-08-25 18:30:00,Pending,Nagaland,Kohima,Kohima,797317,ExpressBees,Handicrafts & Organic NE Produce (Outbound),20.4,19760.49,Two-Wheeler / Bike Express,Out for Delivery (On-Time),Pay on Delivery (UPI QR),Pending,None,27.3,N/A
DEL-NER-2026-000086,2026-08-25 09:30:00,2026-08-26 12:30:00,Pending,Nagaland,Dimapur,Dimapur,797615,DTDC Express,Government / Official Documents,1.36,3332.87,Foot Courier (Hill Stairs / Remote Village),Out for Delivery (Delayed),Prepaid (Digital/UPI),Pending,None,1.9,N/A
DEL-NER-2026-000455,2026-08-25 09:30:00,2026-08-26 19:30:00,Pending,Assam,Sonitpur,Tezpur,781578,Amazon Logistics (NER),Auto Spare Parts & Industrial Tools,24.56,20657.04,Light Commercial Pickup Truck (Bolero / Ace),Out for Delivery (On-Time),Prepaid (Digital/UPI),Pending,None,16.9,N/A
DEL-NER-2026-000357,2026-08-25 09:30:00,2026-08-26 08:30:00,Pending,Arunachal Pradesh,Papum Pare,Itanagar,791469,Amazon Logistics (NER),Essential Medicines & Medical Supplies,2.38,4874.59,Electric Cargo 3-Wheeler,In Transit - Hub to Hub,Prepaid (Digital/UPI),N/A,None,10.4,N/A
DEL-NER-2026-000274,2026-08-25 09:30:00,2026-08-25 20:30:00,Pending,Sikkim,East Sikkim,Gangtok,737792,Amazon Logistics (NER),E-Commerce Consumer Electronics,0.96,6506.92,Electric Cargo 3-Wheeler,In Transit - Hub to Hub,Cash on Delivery (COD),N/A,None,26.3,N/A
DEL-NER-2026-000402,2026-08-25 09:30:00,2026-08-26 06:30:00,Pending,Assam,Dibrugarh,Dibrugarh,781743,Delhivery,Handicrafts & Organic NE Produce (Outbound),15.8,10172.97,Light Commercial Pickup Truck (Bolero / Ace),Delivery Attempted - Recipient Unavailable,Pay on Delivery (UPI QR),N/A,None,6.3,N/A
DEL-NER-2026-000064,2026-08-25 09:30:00,2026-08-26 09:30:00,Pending,Manipur,Churachandpur,Churachandpur,795980,Delhivery,Handicrafts & Organic NE Produce (Outbound),10.17,18389.32,Light Commercial Pickup Truck (Bolero / Ace),In Transit - Hub to Hub,Prepaid (Digital/UPI),N/A,None,7.7,N/A
DEL-NER-2026-000383,2026-08-25 09:30:00,2026-08-26 00:30:00,Pending,Assam,Sonitpur,Tezpur,781680,Blue Dart / DHL,Government / Official Documents,2.29,4219.8,Two-Wheeler / Bike Express,Out for Delivery (On-Time),Pay on Delivery (UPI QR),Pending,None,23.3,N/A
DEL-NER-2026-000380,2026-08-25 09:30:00,2026-08-25 22:30:00,Pending,Arunachal Pradesh,Papum Pare,Itanagar,791270,Amazon Logistics (NER),Essential Medicines & Medical Supplies,1.07,14346.81,Light Commercial Pickup Truck (Bolero / Ace),Out for Delivery (On-Time),Prepaid (Digital/UPI),Pending,None,23.5,N/A
DEL-NER-2026-000060,2026-08-25 09:30:00,2026-08-25 13:30:00,2026-08-25 13:30:00,Meghalaya,East Khasi Hills,Shillong,793618,Blue Dart / DHL,E-Commerce Consumer Electronics,5.22,11380.38,Two-Wheeler / Bike Express,Delivered Successfully,Prepaid (Digital/UPI),Verified,None,23.6,4.7
DEL-NER-2026-000224,2026-08-25 08:30:00,2026-08-25 18:30:00,Pending,Assam,Jorhat,Jorhat,781905,DTDC Express,Auto Spare Parts & Industrial Tools,7.07,15047.08,Foot Courier (Hill Stairs / Remote Village),Out for Delivery (On-Time),Prepaid (Digital/UPI),Pending,None,3.3,N/A
DEL-NER-2026-000088,2026-08-25 08:30:00,2026-08-26 13:30:00,Pending,Arunachal Pradesh,East Siang,Pasighat,791335,Flipkart Ekart,Handicrafts & Organic NE Produce (Outbound),17.59,8193.61,Light Commercial Pickup Truck (Bolero / Ace),Out for Delivery (On-Time),Prepaid (Digital/UPI),Pending,None,20.1,N/A
DEL-NER-2026-000039,2026-08-25 08:30:00,2026-08-25 12:30:00,2026-08-25 12:30:00,Tripura,West Tripura,Agartala,799474,India Post (Speed Post),Auto Spare Parts & Industrial Tools,13.21,5580.06,Electric Cargo 3-Wheeler,Delivered Successfully,Prepaid (Digital/UPI),Verified,None,11.3,5.0
DEL-NER-2026-000247,2026-08-25 08:30:00,2026-08-26 10:30:00,Pending,Sikkim,South Sikkim,Namchi,737258,India Post (Speed Post),Government / Official Documents,2.4,359.49,Light Commercial Pickup Truck (Bolero / Ace),In Transit - Hub to Hub,Prepaid (Digital/UPI),N/A,None,8.2,N/A
DEL-NER-2026-000291,2026-08-25 08:30:00,2026-08-26 07:30:00,Pending,Mizoram,Aizawl,Aizawl,796186,Blue Dart / DHL,Essential Medicines & Medical Supplies,1.32,6570.29,Electric Cargo 3-Wheeler,Out for Delivery (On-Time),Prepaid (Digital/UPI),Pending,None,8.9,N/A
DEL-NER-2026-000298,2026-08-25 08:30:00,2026-08-26 07:30:00,Pending,Assam,Cachar,Silchar,781243,Flipkart Ekart,Essential Medicines & Medical Supplies,1.86,9220.83,Two-Wheeler / Bike Express,Out for Delivery (On-Time),Prepaid (Digital/UPI),Pending,None,13.6,N/A
DEL-NER-2026-000205,2026-08-25 08:30:00,2026-08-26 17:30:00,Pending,Meghalaya,East Khasi Hills,Shillong,793725,Blue Dart / DHL,FMCG & Groceries,7.34,19156.88,Electric Cargo 3-Wheeler,Out for Delivery (On-Time),Pay on Delivery (UPI QR),Pending,None,26.5,N/A
DEL-NER-2026-000122,2026-08-25 08:30:00,2026-08-26 04:30:00,Pending,Mizoram,Lunglei,Lunglei,796806,Amazon Logistics (NER),Handicrafts & Organic NE Produce (Outbound),2.3,3787.66,Light Commercial Pickup Truck (Bolero / Ace),Out for Delivery (Delayed),Pay on Delivery (UPI QR),Pending,None,22.8,N/A
DEL-NER-2026-000492,2026-08-25 08:30:00,2026-08-26 18:30:00,Pending,Assam,Jorhat,Jorhat,781380,Amazon Logistics (NER),Handicrafts & Organic NE Produce (Outbound),1.19,3433.42,Two-Wheeler / Bike Express,Delivery Attempted - Recipient Unavailable,Prepaid (Digital/UPI),N/A,None,30.2,N/A
DEL-NER-2026-000310,2026-08-25 08:30:00,2026-08-26 19:30:00,Pending,Nagaland,Kohima,Kohima,797501,Delhivery,Essential Medicines & Medical Supplies,2.37,10627.9,Two-Wheeler / Bike Express,Out for Delivery (Delayed),Cash on Delivery (COD),Pending,None,26.4,N/A
DEL-NER-2026-000145,2026-08-25 07:30:00,2026-08-25 15:30:00,Pending,Arunachal Pradesh,Tawang,Tawang,791317,India Post (Speed Post),Government / Official Documents,1.29,3663.27,Two-Wheeler / Bike Express,In Transit - Hub to Hub,Prepaid (Digital/UPI),N/A,None,18.3,N/A
DEL-NER-2026-000125,2026-08-25 07:30:00,2026-08-26 11:30:00,Pending,Sikkim,South Sikkim,Namchi,737428,India Post (Speed Post),Handicrafts & Organic NE Produce (Outbound),6.7,18189.91,Light Commercial Pickup Truck (Bolero / Ace),Out for Delivery (Delayed),Prepaid (Digital/UPI),Pending,None,9.0,N/A
DEL-NER-2026-000001,2026-08-25 07:30:00,2026-08-26 03:30:00,Pending,Assam,Cachar,Silchar,781128,Amazon Logistics (NER),Apparel & Fashion,1.8,382.79,Foot Courier (Hill Stairs / Remote Village),Delayed - Weather / Heavy Rainfall,Pay on Delivery (UPI QR),N/A,Heavy Rain / Inundation,18.2,N/A
DEL-NER-2026-000410,2026-08-25 07:30:00,2026-08-26 06:30:00,Pending,Manipur,Churachandpur,Churachandpur,795175,Shadowfax,Essential Medicines & Medical Supplies,2.49,6335.39,Light Commercial Pickup Truck (Bolero / Ace),In Transit - Hub to Hub,Prepaid (Digital/UPI),N/A,None,26.7,N/A
DEL-NER-2026-000235,2026-08-25 07:30:00,2026-08-26 01:30:00,Pending,Mizoram,Lunglei,Lunglei,796905,Delhivery,FMCG & Groceries,16.38,21611.99,Light Commercial Pickup Truck (Bolero / Ace),Out for Delivery (On-Time),Prepaid (Digital/UPI),Pending,None,26.7,N/A
DEL-NER-2026-000393,2026-08-25 07:30:00,2026-08-26 10:30:00,Pending,Sikkim,South Sikkim,Namchi,737289,Flipkart Ekart,Apparel & Fashion,0.36,3990.38,Foot Courier (Hill Stairs / Remote Village),Out for Delivery (On-Time),Cash on Delivery (COD),Pending,None,1.8,N/A
DEL-NER-2026-000226,2026-08-25 07:30:00,2026-08-26 03:30:00,Pending,Mizoram,Lunglei,Lunglei,796571,Delhivery,Apparel & Fashion,1.56,2954.48,Two-Wheeler / Bike Express,Out for Delivery (On-Time),Prepaid (Digital/UPI),Pending,None,10.3,N/A
DEL-NER-2026-000222,2026-08-25 06:30:00,2026-08-25 20:30:00,Pending,Nagaland,Kohima,Kohima,797245,DTDC Express,Essential Medicines & Medical Supplies,2.39,11423.84,Electric Cargo 3-Wheeler,Out for Delivery (On-Time),Prepaid (Digital/UPI),Pending,None,12.3,N/A
DEL-NER-2026-000315,2026-08-25 06:30:00,2026-08-25 17:30:00,Pending,Manipur,Imphal West,Imphal,795612,India Post (Speed Post),Handicrafts & Organic NE Produce (Outbound),15.7,3742.88,Two-Wheeler / Bike Express,Out for Delivery (Delayed),Cash on Delivery (COD),Pending,None,25.5,N/A
DEL-NER-2026-000090,2026-08-25 06:30:00,2026-08-26 16:30:00,Pending,Tripura,Gomati,Udaipur,799944,ExpressBees,Essential Medicines & Medical Supplies,2.15,8084.32,Two-Wheeler / Bike Express,In Transit - Hub to Hub,Pay on Delivery (UPI QR),N/A,None,1.8,N/A
DEL-NER-2026-000473,2026-08-25 06:30:00,2026-08-25 17:30:00,2026-08-25 17:30:00,Arunachal Pradesh,Papum Pare,Itanagar,791265,DTDC Express,Government / Official Documents,1.64,415.6,Light Commercial Pickup Truck (Bolero / Ace),Delivered Successfully,Prepaid (Digital/UPI),Verified,None,11.5,4.7
DEL-NER-2026-000415,2026-08-25 06:30:00,2026-08-25 16:30:00,Pending,Sikkim,East Sikkim,Gangtok,737433,Flipkart Ekart,FMCG & Groceries,2.64,5639.27,Electric Cargo 3-Wheeler,In Transit - Hub to Hub,Prepaid (Digital/UPI),N/A,None,25.5,N/A
DEL-NER-2026-000127,2026-08-25 06:30:00,2026-08-26 01:30:00,Pending,Meghalaya,West Garo Hills,Tura,793603,Blue Dart / DHL,Auto Spare Parts & Industrial Tools,8.26,11752.9,Two-Wheeler / Bike Express,Out for Delivery (Delayed),Prepaid (Digital/UPI),Pending,None,3.0,N/A
DEL-NER-2026-000360,2026-08-25 06:30:00,2026-08-26 09:30:00,Pending,Nagaland,Dimapur,Dimapur,797379,India Post (Speed Post),E-Commerce Consumer Electronics,5.85,32096.85,Two-Wheeler / Bike Express,Held at Hub - Inner Line Permit / Customs Check,Prepaid (Digital/UPI),N/A,Inner Line Permit Verification,4.6,N/A
DEL-NER-2026-000286,2026-08-25 06:30:00,2026-08-25 20:30:00,Pending,Nagaland,Dimapur,Dimapur,797775,DTDC Express,Handicrafts & Organic NE Produce (Outbound),11.91,13347.42,Two-Wheeler / Bike Express,Delayed - Landslide / Road Blockade,Prepaid (Digital/UPI),N/A,Landslide / Highway Blockade,24.1,N/A
DEL-NER-2026-000241,2026-08-25 06:30:00,2026-08-26 08:30:00,Pending,Nagaland,Kohima,Kohima,797978,India Post (Speed Post),Handicrafts & Organic NE Produce (Outbound),1.65,12480.79,Light Commercial Pickup Truck (Bolero / Ace),Out for Delivery (On-Time),Prepaid (Digital/UPI),Pending,None,19.9,N/A
DEL-NER-2026-000157,2026-08-25 06:30:00,2026-08-26 00:30:00,Pending,Tripura,West Tripura,Agartala,799626,ExpressBees,Apparel & Fashion,2.45,2365.65,Light Commercial Pickup Truck (Bolero / Ace),In Transit - Hub to Hub,Pay on Delivery (UPI QR),N/A,None,15.6,N/A
DEL-NER-2026-000166,2026-08-25 06:30:00,2026-08-25 14:30:00,2026-08-25 14:30:00,Manipur,Churachandpur,Churachandpur,795129,Amazon Logistics (NER),E-Commerce Consumer Electronics,0.63,46078.59,Two-Wheeler / Bike Express,Delivered Successfully,Prepaid (Digital/UPI),Verified,None,5.1,4.6
DEL-NER-2026-000139,2026-08-25 05:30:00,2026-08-26 01:30:00,Pending,Tripura,Gomati,Udaipur,799299,Delhivery,Auto Spare Parts & Industrial Tools,16.13,19571.27,Light Commercial Pickup Truck (Bolero / Ace),In Transit - Hub to Hub,Cash on Delivery (COD),N/A,None,10.4,N/A
DEL-NER-2026-000133,2026-08-25 05:30:00,2026-08-26 06:30:00,Pending,Mizoram,Lunglei,Lunglei,796955,Delhivery,FMCG & Groceries,2.21,3932.11,Two-Wheeler / Bike Express,Out for Delivery (On-Time),Prepaid (Digital/UPI),Pending,None,16.9,N/A
DEL-NER-2026-000411,2026-08-25 05:30:00,2026-08-25 14:30:00,Pending,Arunachal Pradesh,Tawang,Tawang,791917,ExpressBees,E-Commerce Consumer Electronics,2.87,18768.35,Light Commercial Pickup Truck (Bolero / Ace),Out for Delivery (Delayed),Prepaid (Digital/UPI),Pending,None,10.6,N/A
DEL-NER-2026-000431,2026-08-25 05:30:00,2026-08-25 11:30:00,2026-08-25 11:30:00,Assam,Sonitpur,Tezpur,781699,India Post (Speed Post),Government / Official Documents,0.91,3358.94,Light Commercial Pickup Truck (Bolero / Ace),Delivered Successfully,Prepaid (Digital/UPI),Verified,None,13.0,3.8
DEL-NER-2026-000232,2026-08-25 05:30:00,2026-08-26 05:30:00,Pending,Meghalaya,West Garo Hills,Tura,793769,Blue Dart / DHL,Auto Spare Parts & Industrial Tools,21.97,18061.5,Light Commercial Pickup Truck (Bolero / Ace),Out for Delivery (On-Time),Prepaid (Digital/UPI),Pending,None,17.1,N/A
DEL-NER-2026-000230,2026-08-25 05:30:00,2026-08-26 13:30:00,Pending,Assam,Kamrup Metropolitan,Guwahati,781634,DTDC Express,Apparel & Fashion,1.48,1095.99,Foot Courier (Hill Stairs / Remote Village),Delivery Attempted - Recipient Unavailable,Prepaid (Digital/UPI),N/A,None,16.9,N/A
DEL-NER-2026-000237,2026-08-25 05:30:00,2026-08-25 16:30:00,Pending,Nagaland,Kohima,Kohima,797483,Delhivery,E-Commerce Consumer Electronics,5.19,20040.5,Electric Cargo 3-Wheeler,Delayed - Landslide / Road Blockade,Cash on Delivery (COD),N/A,Landslide / Highway Blockade,2.5,N/A
DEL-NER-2026-000251,2026-08-25 05:30:00,2026-08-25 16:30:00,2026-08-25 16:30:00,Assam,Kamrup Metropolitan,Guwahati,781287,Delhivery,E-Commerce Consumer Electronics,5.25,51779.51,Light Commercial Pickup Truck (Bolero / Ace),Delivered Successfully,Prepaid (Digital/UPI),Verified,None,30.7,3.7
DEL-NER-2026-000056,2026-08-25 05:30:00,2026-08-26 02:30:00,Pending,Manipur,Churachandpur,Churachandpur,795659,Amazon Logistics (NER),Government / Official Documents,1.21,4077.18,Light Commercial Pickup Truck (Bolero / Ace),Out for Delivery (On-Time),Prepaid (Digital/UPI),Pending,None,28.2,N/A
DEL-NER-2026-000167,2026-08-25 04:30:00,2026-08-25 22:30:00,Pending,Tripura,Gomati,Udaipur,799487,India Post (Speed Post),Apparel & Fashion,0.68,2147.47,Two-Wheeler / Bike Express,Out for Delivery (On-Time),Pay on Delivery (UPI QR),Pending,None,28.4,N/A
DEL-NER-2026-000134,2026-08-25 04:30:00,2026-08-25 15:30:00,Pending,Manipur,Imphal West,Imphal,795796,Blue Dart / DHL,Auto Spare Parts & Industrial Tools,23.32,3608.69,Electric Cargo 3-Wheeler,Out for Delivery (On-Time),Prepaid (Digital/UPI),Pending,None,21.2,N/A
DEL-NER-2026-000387,2026-08-25 04:30:00,2026-08-26 02:30:00,Pending,Sikkim,East Sikkim,Gangtok,737976,Blue Dart / DHL,Essential Medicines & Medical Supplies,1.87,13653.01,Electric Cargo 3-Wheeler,Out for Delivery (On-Time),Cash on Delivery (COD),Pending,None,21.9,N/A
DEL-NER-2026-000008,2026-08-25 04:30:00,2026-08-26 04:30:00,Pending,Meghalaya,West Garo Hills,Tura,793573,DTDC Express,Handicrafts & Organic NE Produce (Outbound),7.89,20092.47,Light Commercial Pickup Truck (Bolero / Ace),Out for Delivery (On-Time),Cash on Delivery (COD),Pending,None,23.0,N/A
DEL-NER-2026-000418,2026-08-25 04:30:00,2026-08-25 20:30:00,Pending,Tripura,West Tripura,Agartala,799397,ExpressBees,Essential Medicines & Medical Supplies,3.07,12645.87,Light Commercial Pickup Truck (Bolero / Ace),Out for Delivery (On-Time),Prepaid (Digital/UPI),Pending,None,30.4,N/A
DEL-NER-2026-000189,2026-08-25 04:30:00,2026-08-25 19:30:00,Pending,Arunachal Pradesh,Tawang,Tawang,791687,Flipkart Ekart,Apparel & Fashion,1.08,1310.28,Light Commercial Pickup Truck (Bolero / Ace),Out for Delivery (On-Time),Prepaid (Digital/UPI),Pending,None,3.2,N/A
DEL-NER-2026-000225,2026-08-25 04:30:00,2026-08-26 07:30:00,Pending,Arunachal Pradesh,Tawang,Tawang,791669,Flipkart Ekart,Essential Medicines & Medical Supplies,0.64,8107.83,Light Commercial Pickup Truck (Bolero / Ace),Out for Delivery (On-Time),Prepaid (Digital/UPI),Pending,None,5.8,N/A
DEL-NER-2026-000171,2026-08-25 04:30:00,2026-08-25 09:30:00,2026-08-25 09:30:00,Mizoram,Aizawl,Aizawl,796428,Blue Dart / DHL,E-Commerce Consumer Electronics,7.08,31218.34,Light Commercial Pickup Truck (Bolero / Ace),Delivered Successfully,Prepaid (Digital/UPI),Verified,None,3.1,4.7
DEL-NER-2026-000495,2026-08-25 04:30:00,2026-08-25 13:30:00,Pending,Assam,Dibrugarh,Dibrugarh,781143,Flipkart Ekart,Essential Medicines & Medical Supplies,3.22,2140.17,Two-Wheeler / Bike Express,Out for Delivery (On-Time),Prepaid (Digital/UPI),Pending,None,8.8,N/A
DEL-NER-2026-000036,2026-08-25 04:30:00,2026-08-25 19:30:00,Pending,Assam,Cachar,Silchar,781422,ExpressBees,Auto Spare Parts & Industrial Tools,2.73,6178.61,Light Commercial Pickup Truck (Bolero / Ace),Out for Delivery (On-Time),Prepaid (Digital/UPI),Pending,None,26.6,N/A
DEL-NER-2026-000343,2026-08-25 04:30:00,2026-08-25 11:30:00,2026-08-25 11:30:00,Manipur,Churachandpur,Churachandpur,795291,Flipkart Ekart,E-Commerce Consumer Electronics,1.08,59878.65,Two-Wheeler / Bike Express,Delivered Successfully,Prepaid (Digital/UPI),Verified,None,15.9,4.1
